Gender,Age,Annual_Income,Education_Level,Marital_Status,Employment_Type,Years_in_Current_Job,Credit_Score,Existing_Loan_Balance,Loan_Amount_Requested,Credit_Card_Inquiries,Payment_of_Previous_Dues,Approved
Male,68,385505,Undergraduate,Married,Salaried,18.0,699.0,19540,414356,1,Paid on Time,1
Female,57,247277,Undergraduate,Married,Salaried,11.0,679.0,171619,122785,2,Paid on Time,1
Female,24,1039800,Graduate,Single,Salaried,2.0,656.0,785302,572383,2,Paid on Time,1
Female,49,15000,Postgraduate,Divorced,Unemployed,0.0,614.0,9355,14003,3,Delayed,0
Male,65,339110,Graduate,Married,Salaried,21.0,442.0,21353,369615,4,Delayed,0
Male,36,45211,Postgraduate,Married,Student,0.0,704.0,49028,158174,0,Paid on Time,0
Male,23,611136,Graduate,Single,Salaried,0.0,745.0,506646,1878531,0,Paid on Time,1
Female,37,552212,Graduate,Single,Salaried,8.0,649.0,68266,158793,1,Paid on Time,1
Female,44,211139,Graduate,Single,Salaried,7.0,500.0,301098,124007,1,Delayed,0
Female,70,364569,Undergraduate,Single,Salaried,19.0,600.0,485341,112386,2,Paid on Time,1
Male,60,15000,Undergraduate,Single,Unemployed,0.0,602.0,7953,17395,2,Paid on Time,0
Female,54,450375,Postgraduate,Married,Self-Employed,5.0,604.0,166321,213040,1,Paid on Time,1
Female,65,54404,Graduate,Married,Student,0.0,700.0,51287,14847,0,Paid on Time,1
Male,24,686654,Graduate,Married,Self-Employed,1.0,519.0,44606,161172,0,Delayed,1
Male,22,753134,Postgraduate,Divorced,Salaried,2.0,,560324,196036,1,Paid on Time,1
Male,28,837321,Postgraduate,Married,Self-Employed,3.0,634.0,844804,373416,1,Paid on Time,1
Male,32,1254023,Graduate,Single,Self-Employed,3.0,801.0,764989,3000000,2,Paid on Time,1
Male,20,342811,Undergraduate,Married,Self-Employed,0.0,689.0,499968,148375,4,Paid on Time,1
Male,22,282235,Graduate,Married,Salaried,1.0,605.0,304333,139398,3,Paid on Time,1
Male,40,198574,Postgraduate,Married,Salaried,3.0,788.0,278222,701900,2,Paid on Time,1
Female,70,378138,High School,,Salaried,18.0,529.0,514962,271972,0,Delayed,0
Male,54,262092,High School,Married,Salaried,6.0,582.0,51775,212912,6,Paid on Time,1
Male,26,202221,Postgraduate,Single,Salaried,1.0,468.0,27042,20992,2,Delayed,0
Male,32,24627,Graduate,Married,Student,0.0,808.0,22041,10348,4,Paid on Time,1
Male,20,256033,Postgraduate,Single,Salaried,0.0,671.0,21057,291067,1,Delayed,0
Female,46,324151,Undergraduate,,Salaried,6.0,628.0,154565,183744,1,Paid on Time,1
Male,23,229347,Graduate,Single,Salaried,1.0,773.0,183905,156689,1,Paid on Time,1
Male,34,462464,Undergraduate,Single,Self-Employed,3.0,592.0,380252,323876,2,Paid on Time,1
Female,43,535936,High School,Divorced,Salaried,14.0,605.0,654440,87430,0,Paid on Time,1
Male,38,15000,High School,Married,Unemployed,0.0,759.0,13221,42998,6,Paid on Time,0
Female,25,27806,Graduate,Married,Unemployed,0.0,592.0,19457,10000,2,Delayed,0
Male,38,16724,Postgraduate,Divorced,Student,0.0,601.0,18863,10000,1,Paid on Time,1
